sequence	type	position	peak>-12	peak>-14	peak>-16	peak>-18	peak<-18	peak_sum	peak_count	sp_mean
PR8_PB2	WT	0	0.0	0.0	-15.70	-16.10	0.0	-31.80	2.00	0.00
PR8_PB2	WT	27	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PB2	WT	51	-91.73	-244.88	-14.87	-16.43	0.0	-367.91	29.00	0.00
PR8_PB2	WT	111	-11.19	-12.65	0.0	0.0	0.0	-23.84	2.00	5186.00
PR8_PB2	WT	147	0.0	-53.23	-14.89	-16.98	0.0	-85.10	6.00	6904.00
PR8_PB2	WT	180	-126.86	-165.07	-29.46	-33.74	-19.42	-374.55	29.00	9955.00
PR8_PB2	WT	211	-22.23	-101.38	-104.08	-115.80	0.0	-343.49	24.00	10538.00
PR8_PB2	WT	238	-103.59	-178.72	-60.48	-150.77	0.0	-493.56	36.00	5713.00
PR8_PB2	WT	294	-102.84	-102.83	-45.55	-17.16	-18.12	-286.50	22.00	20135.00
PR8_PB2	WT	309	-92.15	-188.26	-46.60	-17.16	0.0	-344.17	27.00	21383.00
PR8_PB2	WT	346	-11.90	-63.47	0.0	-34.20	0.0	-109.57	8.00	8431.00
PR8_PB2	WT	373	0.0	-13.67	-14.76	0.0	0.0	-28.43	2.00	10539.00
PR8_PB2	WT	399	-34.86	-37.84	-42.91	0.0	0.0	-115.61	9.00	4798.00
PR8_PB2	WT	424	-69.37	-51.94	-115.66	0.0	0.0	-236.97	18.00	13090.00
PR8_PB2	WT	467	-22.82	-12.31	-29.98	0.0	0.0	-65.11	5.00	5823.00
PR8_PB2	WT	505	-11.80	-164.46	-28.82	0.0	0.0	-205.08	16.00	693.00
PR8_PB2	WT	526	-22.65	-50.83	0.0	0.0	0.0	-73.48	6.00	693.00
PR8_PB2	WT	572	-35.62	-37.46	0.0	0.0	0.0	-73.08	6.00	0.00
PR8_PB2	WT	595	0.0	0.0	0.0	0.0	0.0	0.00	0.00	638.00
PR8_PB2	WT	635	-11.72	-38.93	-15.69	-16.06	0.0	-82.40	6.00	4548.00
PR8_PB2	WT	663	-46.26	-65.33	0.0	-16.42	0.0	-128.01	10.00	5740.00
PR8_PB2	WT	702	-33.14	-75.27	-14.18	0.0	0.0	-122.59	10.00	8125.00
PR8_PB2	WT	727	0.0	-64.41	-14.63	0.0	0.0	-79.04	6.00	5824.00
PR8_PB2	WT	785	-47.00	-38.17	-30.09	-33.28	0.0	-148.54	11.00	1747.00
PR8_PB2	WT	813	0.0	-76.63	-30.39	0.0	0.0	-107.02	8.00	1719.00
PR8_PB2	WT	882	-57.71	-65.43	0.0	-16.62	0.0	-139.76	11.00	6823.00
PR8_PB2	WT	890	-11.68	-38.85	-15.97	-16.62	0.0	-83.12	6.00	4133.00
PR8_PB2	WT	937	-22.51	-87.16	0.0	0.0	0.0	-109.67	9.00	40130.00
PR8_PB2	WT	945	-11.24	-90.19	0.0	0.0	0.0	-101.43	8.00	54246.00
PR8_PB2	WT	978	0.0	0.0	0.0	0.0	0.0	0.00	0.00	48505.00
PR8_PB2	WT	1001	0.0	-25.56	0.0	0.0	0.0	-25.56	2.00	3273.00
PR8_PB2	WT	1054	-11.71	-13.75	0.0	0.0	0.0	-25.46	2.00	31504.00
PR8_PB2	WT	1092	-11.71	0.0	0.0	0.0	0.0	-11.71	1.00	26235.00
PR8_PB2	WT	1127	-79.96	-87.08	-29.51	0.0	0.0	-196.55	16.00	17694.00
PR8_PB2	WT	1165	-23.01	-63.59	-29.17	-32.74	0.0	-148.51	11.00	18137.00
PR8_PB2	WT	1242	0.0	-13.40	-15.59	0.0	0.0	-28.99	2.00	1470.00
PR8_PB2	WT	1247	0.0	-25.82	-15.59	0.0	0.0	-41.41	3.00	1470.00
PR8_PB2	WT	1250	0.0	-12.42	-15.59	0.0	0.0	-28.01	2.00	2441.00
PR8_PB2	WT	1260	0.0	0.0	-14.65	0.0	0.0	-14.65	1.00	971.00
PR8_PB2	WT	1294	-34.21	-127.83	-28.16	0.0	0.0	-190.20	15.00	8238.00
PR8_PB2	WT	1327	-22.47	-38.90	0.0	0.0	0.0	-61.37	5.00	14090.00
PR8_PB2	WT	1360	-58.16	-179.74	-29.84	-16.84	0.0	-284.58	22.00	4770.00
PR8_PB2	WT	1385	-45.97	-127.18	-44.78	0.0	0.0	-217.93	17.00	5907.00
PR8_PB2	WT	1440	-34.84	-12.83	0.0	-17.09	0.0	-64.76	5.00	11343.00
PR8_PB2	WT	1475	-11.53	-38.91	0.0	0.0	0.0	-50.44	4.00	3966.00
