sequence	type	position	peak>-12	peak>-14	peak>-16	peak>-18	peak<-18	peak_sum	peak_count	sp_mean
WSN_PB2	WT	445	-436.09	-1317.41	-561.98	-220.38	-78.12	-2613.98	195.00	9468.00
WSN_PB2	WT	1658	-527.61	-529.78	-382.61	-85.58	-38.00	-1563.58	120.00	6644.00
WSN_PB2	WT	910	-219.17	-862.00	-325.73	-100.42	-18.36	-1525.68	115.00	1768.00
WSN_PB2	WT	1410	-300.45	-531.68	-255.55	-83.14	0.0	-1170.82	89.00	5986.00
WSN_PB2	WT	71	-206.78	-707.05	-191.10	-33.94	-20.05	-1158.92	89.00	924.00
WSN_PB2	WT	1921	-311.85	-503.32	-279.07	-49.39	0.0	-1143.63	88.00	8029.00
WSN_PB2	WT	2269	-285.84	-547.83	-224.61	-48.79	0.0	-1107.07	86.00	1182.00
WSN_PB2	WT	1024	-334.30	-486.84	-204.65	-49.31	0.0	-1075.10	84.00	13635.00
WSN_PB2	WT	294	-217.34	-609.80	-224.38	0.0	0.0	-1051.52	81.00	195.00
WSN_PB2	WT	2035	-297.92	-462.31	-190.48	-68.19	-18.05	-1036.95	80.00	16033.00
WSN_PB2	WT	2241	-208.87	-460.50	-194.51	-101.68	0.0	-965.56	73.00	1358.00
WSN_PB2	WT	1853	-162.62	-502.74	-203.53	-67.72	0.0	-936.61	71.00	3854.00
WSN_PB2	WT	272	-274.36	-421.23	-148.48	-66.28	0.0	-910.35	70.00	3988.00
WSN_PB2	WT	2057	-228.91	-502.80	-102.38	-50.17	-21.20	-905.46	70.00	9318.00
WSN_PB2	WT	1459	-228.23	-505.04	-117.53	-33.76	0.0	-884.56	69.00	3029.00
WSN_PB2	WT	617	-162.21	-471.54	-134.42	-17.16	-19.41	-804.74	62.00	9070.00
WSN_PB2	WT	769	-171.68	-360.04	-204.90	-49.27	0.0	-785.89	60.00	1209.00
WSN_PB2	WT	1496	-150.50	-349.06	-148.38	-66.39	-38.42	-752.75	56.00	25918.00
WSN_PB2	WT	2190	-136.64	-281.61	-192.81	-101.52	-19.22	-731.80	54.00	8401.00
WSN_PB2	WT	550	-149.67	-343.72	-117.71	-48.62	-20.55	-680.27	52.00	1333.00
WSN_PB2	WT	1575	-112.81	-233.26	-194.45	-51.05	0.0	-591.57	44.00	21176.00
WSN_PB2	WT	227	-274.67	-176.65	-103.18	-17.17	0.0	-571.67	46.00	2381.00
WSN_PB2	WT	1372	-138.78	-310.64	-88.09	0.0	0.0	-537.51	42.00	6546.00
WSN_PB2	WT	418	-135.76	-299.57	-72.75	0.0	0.0	-508.08	40.00	2541.00
WSN_PB2	WT	1601	-45.06	-270.84	-118.86	-51.03	-20.30	-506.09	37.00	15697.00
WSN_PB2	WT	200	-114.65	-206.23	-132.80	-51.59	0.0	-505.27	38.00	6395.00
WSN_PB2	WT	1590	-91.09	-230.89	-59.99	-85.94	0.0	-467.91	35.00	18361.00
WSN_PB2	WT	330	-139.82	-246.09	-59.05	0.0	0.0	-444.96	35.00	2051.00
WSN_PB2	WT	1712	-116.09	-203.22	-86.88	-16.56	0.0	-422.75	33.00	3171.00
WSN_PB2	WT	1797	-102.62	-179.39	-89.30	-51.24	0.0	-422.55	32.00	2665.00
WSN_PB2	WT	844	-104.20	-207.04	-60.02	-32.63	0.0	-403.89	31.00	2176.00
WSN_PB2	WT	1352	-135.34	-230.63	-14.29	-16.66	0.0	-396.92	32.00	15020.00
WSN_PB2	WT	1733	-104.40	-228.97	-42.39	0.0	-18.50	-394.26	31.00	3775.00
WSN_PB2	WT	1207	-81.72	-254.49	-57.99	0.0	0.0	-394.20	31.00	1527.00
WSN_PB2	WT	487	-151.59	-139.99	-72.30	-16.26	0.0	-380.14	30.00	4016.00
WSN_PB2	WT	2002	-137.96	-220.05	-15.15	0.0	0.0	-373.16	30.00	5338.00
WSN_PB2	WT	1183	-127.50	-189.38	-30.58	-16.07	0.0	-363.53	29.00	12240.00
WSN_PB2	WT	46	-91.09	-181.26	-28.82	-32.46	0.0	-333.63	26.00	320.00
WSN_PB2	WT	682	-92.41	-142.01	-74.15	0.0	-18.10	-326.67	25.00	5818.00
WSN_PB2	WT	357	-70.17	-179.39	-59.38	-16.97	0.0	-325.91	25.00	7585.00
WSN_PB2	WT	129	-45.65	-180.16	-42.98	-50.00	0.0	-318.79	24.00	20750.00
WSN_PB2	WT	170	-115.46	-131.59	-42.91	-17.17	0.0	-307.13	24.00	338.00
WSN_PB2	WT	1135	-90.49	-91.39	-105.31	-17.44	0.0	-304.63	23.00	2043.00
WSN_PB2	WT	1309	-46.75	-206.10	-14.38	0.0	0.0	-267.23	21.00	9628.00
WSN_PB2	WT	795	-102.90	-115.57	-14.24	-33.09	0.0	-265.80	21.00	2514.00
WSN_PB2	WT	1281	-125.67	-93.52	-15.31	-16.29	0.0	-250.79	20.00	1199.00
WSN_PB2	WT	517	-124.28	-102.20	-14.93	0.0	0.0	-241.41	20.00	1031.00
WSN_PB2	WT	95	-56.95	-113.97	-14.81	-16.58	-18.58	-220.89	17.00	1181.00
WSN_PB2	WT	508	-46.89	-126.64	-44.57	0.0	0.0	-218.10	17.00	2026.00
WSN_PB2	WT	2101	-35.12	-114.02	-46.28	-16.62	0.0	-212.04	16.00	791.00
WSN_PB2	WT	1117	-34.26	-103.64	-14.93	-33.69	-18.38	-204.90	15.00	6439.00
WSN_PB2	WT	577	-23.56	-151.02	-29.04	0.0	0.0	-203.62	16.00	2301.00
WSN_PB2	WT	2136	-35.10	-37.60	-73.52	-50.24	0.0	-196.46	14.00	7870.00
WSN_PB2	WT	387	-34.24	-115.05	-28.28	0.0	-18.08	-195.65	15.00	20900.00
WSN_PB2	WT	822	-55.85	-76.72	-43.26	-16.51	0.0	-192.34	15.00	1447.00
WSN_PB2	WT	958	-69.55	-101.72	-15.40	0.0	0.0	-186.67	15.00	0.00
WSN_PB2	WT	1772	-57.78	-99.80	-28.60	0.0	0.0	-186.18	15.00	791.00
WSN_PB2	WT	712	-45.88	-88.69	-14.18	-33.20	0.0	-181.95	14.00	4441.00
WSN_PB2	WT	1067	-45.92	-101.75	-15.67	-17.68	0.0	-181.02	14.00	3740.00
WSN_PB2	WT	881	-11.50	-128.59	-15.14	-16.62	0.0	-171.85	13.00	2185.00
WSN_PB2	WT	1762	-70.26	-77.15	-14.45	0.0	0.0	-161.86	13.00	1412.00
WSN_PB2	WT	873	-34.37	-91.01	-14.61	-16.62	0.0	-156.61	12.00	1972.00
WSN_PB2	WT	1760	-69.42	-64.58	-14.45	0.0	0.0	-148.45	12.00	1412.00
WSN_PB2	WT	988	-34.42	-63.27	-14.17	-33.49	0.0	-145.35	11.00	702.00
WSN_PB2	WT	645	-46.49	-76.00	0.0	-16.08	0.0	-138.57	11.00	444.00
WSN_PB2	WT	1526	-34.44	-76.83	0.0	-16.79	0.0	-128.06	10.00	1563.00
WSN_PB2	WT	1241	-11.54	-39.45	-14.12	0.0	0.0	-65.11	5.00	115.00
WSN_PB2	WT	1248	-34.72	-13.88	-14.12	0.0	0.0	-62.72	5.00	0.00
WSN_PB2	WT	2333	0.0	-26.65	-15.80	-17.60	0.0	-60.05	4.00	0.00
WSN_PB2	WT	2166	-11.28	-25.26	0.0	-16.32	0.0	-52.86	4.00	3028.00
WSN_PB2	WT	1980	-35.04	-12.36	0.0	0.0	0.0	-47.40	4.00	6706.00
WSN_PB2	WT	4	0.0	0.0	-30.47	-16.10	0.0	-46.57	3.00	0.00
