sequence	type	position	peak>-12	peak>-14	peak>-16	peak>-18	peak<-18	peak_sum	peak_count	sp_mean
WSN_PB2	WT	0	0.0	0.0	-30.47	-16.10	0.0	-46.57	3.00	0.00
WSN_PB2	WT	27	0.0	-12.32	0.0	0.0	0.0	-12.32	1.00	0.00
WSN_PB2	WT	52	-91.50	-156.99	-42.94	-32.46	0.0	-323.89	25.00	2962.00
WSN_PB2	WT	92	-56.82	-126.62	-14.81	-16.58	-18.58	-233.41	18.00	4443.00
WSN_PB2	WT	112	0.0	-13.13	0.0	0.0	-18.58	-31.71	2.00	8886.00
WSN_PB2	WT	144	-11.17	-81.11	-29.54	-33.18	0.0	-155.00	11.00	2962.00
WSN_PB2	WT	184	-11.97	-77.71	-29.83	-17.17	0.0	-136.68	10.00	1481.00
WSN_PB2	WT	212	-69.91	-126.40	-146.57	-51.59	0.0	-394.47	29.00	16291.00
WSN_PB2	WT	238	-126.39	-152.54	-73.63	-50.39	0.0	-402.95	31.00	14810.00
WSN_PB2	WT	284	-127.39	-499.54	-179.20	-50.04	0.0	-856.17	64.00	2962.00
WSN_PB2	WT	314	-80.69	-144.10	-43.94	0.0	0.0	-268.73	21.00	7405.00
WSN_PB2	WT	346	-11.45	-130.23	-29.81	-16.97	0.0	-188.46	14.00	10367.00
WSN_PB2	WT	374	-11.14	-52.50	0.0	0.0	0.0	-63.64	5.00	1481.00
WSN_PB2	WT	400	-23.08	-13.04	-14.17	0.0	0.0	-50.29	4.00	0.00
WSN_PB2	WT	423	-126.41	-298.50	-58.71	-17.22	-21.37	-522.21	40.00	17772.00
WSN_PB2	WT	468	-11.72	-13.72	-15.63	0.0	0.0	-41.07	3.00	5924.00
WSN_PB2	WT	505	-47.05	-153.38	-43.77	0.0	0.0	-244.20	19.00	10367.00
WSN_PB2	WT	509	-46.59	-126.64	-29.55	0.0	0.0	-202.78	16.00	10367.00
WSN_PB2	WT	530	-44.35	-62.73	-58.18	0.0	0.0	-165.26	13.00	5924.00
WSN_PB2	WT	569	-45.88	-87.41	-29.04	0.0	0.0	-162.33	13.00	0.00
WSN_PB2	WT	594	0.0	-12.36	0.0	0.0	0.0	-12.36	1.00	0.00
WSN_PB2	WT	635	-34.97	-12.12	0.0	-16.08	0.0	-63.17	5.00	1481.00
WSN_PB2	WT	656	0.0	-52.27	-14.44	0.0	0.0	-66.71	5.00	8886.00
WSN_PB2	WT	698	0.0	-102.65	-14.40	-16.86	0.0	-133.91	10.00	7405.00
WSN_PB2	WT	729	0.0	-39.37	0.0	-16.45	0.0	-55.82	4.00	2962.00
WSN_PB2	WT	787	-56.70	-128.83	-28.28	-33.09	0.0	-246.90	19.00	5924.00
WSN_PB2	WT	811	-11.35	-38.15	-14.48	-16.28	0.0	-80.26	6.00	11848.00
WSN_PB2	WT	830	-33.94	-64.27	-44.43	-33.77	0.0	-176.41	13.00	19253.00
WSN_PB2	WT	860	-45.31	-63.76	-14.61	0.0	0.0	-123.68	10.00	13329.00
WSN_PB2	WT	874	-34.37	-91.01	-14.61	-16.62	0.0	-156.61	12.00	5924.00
WSN_PB2	WT	887	-11.50	-142.03	-15.14	-16.62	0.0	-185.29	14.00	5924.00
WSN_PB2	WT	947	-22.88	-76.01	-15.40	0.0	0.0	-114.29	9.00	1481.00
WSN_PB2	WT	972	-35.16	-12.91	0.0	0.0	0.0	-48.07	4.00	1481.00
WSN_PB2	WT	1004	0.0	-49.22	0.0	0.0	0.0	-49.22	4.00	2962.00
WSN_PB2	WT	1055	-23.28	-25.60	-14.07	-17.68	0.0	-80.63	6.00	0.00
WSN_PB2	WT	1086	-11.91	0.0	0.0	0.0	0.0	-11.91	1.00	2962.00
WSN_PB2	WT	1095	-11.91	-13.11	0.0	0.0	0.0	-25.02	2.00	2962.00
WSN_PB2	WT	1120	-22.61	-105.95	-30.13	-33.69	-18.38	-210.76	15.00	2962.00
WSN_PB2	WT	1166	-11.69	-64.46	-14.41	-32.72	0.0	-123.28	9.00	2962.00
WSN_PB2	WT	1193	-46.95	-140.75	-30.36	0.0	0.0	-218.06	17.00	4443.00
WSN_PB2	WT	1233	-11.69	-77.06	0.0	0.0	0.0	-88.75	7.00	0.00
WSN_PB2	WT	1247	-34.72	-39.45	-14.12	0.0	0.0	-88.29	7.00	0.00
WSN_PB2	WT	1259	-11.19	-25.34	0.0	0.0	0.0	-36.53	3.00	2962.00
WSN_PB2	WT	1297	-46.04	-121.32	0.0	-16.29	0.0	-183.65	14.00	4443.00
WSN_PB2	WT	1328	-11.43	-38.87	0.0	0.0	0.0	-50.30	4.00	1481.00
